x_id	y_id	x_type	y_type	rel_type	relation	question
Chemical|MESH:C000595064	Gene|5970	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical urolithin B (MESH:C000595064) and Gene p65 (5970)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000596027	Gene|18033	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical baricitinib (MESH:C000596027) and Gene NF-kappaB (18033)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000596027	Gene|207	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical baricitinib (MESH:C000596027) and Gene Akt (207)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000596027	Gene|2475	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical baricitinib (MESH:C000596027) and Gene mTOR (2475)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000596027	Gene|4790	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical baricitinib (MESH:C000596027) and Gene NF-kappaB (4790)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000596027	Gene|5293	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical baricitinib (MESH:C000596027) and Gene PI3K (5293)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000597426	Gene|2670	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical MCC950 (MESH:C000597426) and Gene GFAP (2670)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000598580	Gene|55244	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical brigatinib (MESH:C000598580) and Gene MATE1 (55244)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000599103	Gene|116554	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical 11H-indeno[1,2-b]quinoxalin-11-one oxime (MESH:C000599103) and Gene JNK (116554)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000599417	Gene|7442	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical tenapanor (MESH:C000599417) and Gene TRPV1 (7442)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000600229	Gene|1956	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical imidazo[2,1-b]thiazole (MESH:C000600229) and Gene EGFR (1956)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000600669	Gene|207	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical corynoxine (MESH:C000600669) and Gene Akt (207)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000601074	Gene|3605	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical sappanone A (MESH:C000601074) and Gene IL-17 (3605)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000601074	Gene|5970	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical sappanone A (MESH:C000601074) and Gene p65 (5970)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000601358	Gene|4790	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical LY2409881 (MESH:C000601358) and Gene NF-kappaB (4790)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000604315	Gene|10203	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical fremanezumab (MESH:C000604315) and Gene calcitonin receptor-like receptor (10203)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000604580	Gene|29126	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical erdafitinib (MESH:C000604580) and Gene PD-L1 (29126)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000604580	Gene|6774	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical erdafitinib (MESH:C000604580) and Gene STAT3 (6774)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
Chemical|MESH:C000604698	Gene|11001	Chemical	Gene	Chemical & Gene	negative_correlate	Can we hypothesize the potential relation between Chemical lipofermata (MESH:C000604698) and Gene SLC27A2 (11001)? The final hypothesis can be one of ['positive_correlate', 'negative_correlate', 'no_relation'].
