index,novelty,relevance,significance,verifiability
1,2.5,3,2.5,3
2,2.5,3,2.5,2
3,2.5,3,2.5,2.5
4,2.5,3,2.5,3
5,2.5,3,2.5,2.5
6,3,3,2.5,3
7,2.5,3,3,3
8,2.5,3,3,3
9,2.5,3,2.5,3
10,2.5,3,2.5,2.5
11,3,3,2.5,2.5
12,2.5,3,2.5,3
13,2.5,3,2.5,2.5
14,2.5,3,2.5,2.5
15,2.5,3,2.5,2.5
16,2.5,3,2.5,3
17,2.5,3,2.5,3
18,3,3,2.5,2.5
19,2.5,3,2.5,3
20,2.5,3,2.5,2.5
21,3,3,3,2.5
22,2.5,3,2.5,2.5
23,2.5,3,2.5,2.5
24,2.5,3,2.5,3
25,2.5,3,2.5,2.5
26,2.5,3,2.5,2.5
27,2.5,3,2.5,2.5
28,2.5,3,2.5,3
29,2.5,3,2.5,3
30,2.5,3,2.5,3
31,2.5,3,2.5,3
32,2.5,3,2.5,2.5
33,2.5,3,2.5,2.5
34,2.5,3,2.5,3
35,2.5,3,2.5,2
36,2.5,3,2.5,3
37,3,3,3,3
38,2.5,3,2.5,3
39,2.5,3,2.5,2
40,2.5,3,2.5,3
41,2.5,3,2.5,3
42,2.5,3,2.5,2.5
43,2.5,3,2.5,2
44,2.5,3,2.5,2.5
45,2.5,3,2.5,3
46,2.5,3,2.5,2
47,2.5,3,2.5,2.5
48,2.5,3,2.5,2
49,2.5,3,2.5,2.5
50,2.5,3,2.5,2.5
51,2.5,3,2.5,2
52,2.5,3,2.5,2
53,3,3,2.5,3
54,2.5,3,2.5,2.5
55,2.5,3,2.5,3
56,2.5,3,2.5,3
57,2.5,3,2.5,2
58,2.5,3,2.5,2.5
59,2.5,3,2.5,2
60,3,3,3,3
61,2.5,3,2.5,2.5
62,2.5,3,2.5,2.5
63,2.5,3,3,3
64,3,3,2.5,2
65,2.5,3,2.5,2
66,2.5,3,2.5,2.5
67,2.5,3,2.5,2.5
68,2.5,3,2.5,2
69,2.5,3,2.5,3
70,2.5,3,2.5,2.5
71,2.5,3,2.5,2.5
72,2.5,3,2.5,3
73,2.5,3,2.5,2.5
74,2.5,3,2.5,2
75,2.5,3,2.5,3
76,2.5,3,2.5,2
77,2.5,3,2.5,3
78,2.5,3,2.5,2.5
79,2.5,3,2.5,2.5
80,2.5,3,2.5,2.5
81,2.5,3,2.5,2
82,2.5,3,2.5,2
83,2.5,3,2.5,2.5
84,2.5,3,2.5,2
85,2.5,3,2.5,2
86,2.5,3,2.5,2.5
87,2.5,3,2.5,2
88,2.5,3,2.5,2
89,2.5,3,2.5,2.5
90,2.5,3,2.5,2.5
91,2.5,2.5,3,2.5
92,2.5,3,2.5,2
93,2.5,3,2.5,3
94,2.5,3,2.5,3
95,2.5,3,2.5,2
96,2.5,3,2.5,2
97,2.5,3,3,3
98,2.5,3,3,2.5
99,2.5,3,2.5,2
100,2.5,3,2.5,2
