index,novelty,relevance,significance,verifiability
1,2,3,2.5,3
2,1.5,3,2.5,3
3,2.5,3,2.5,2.5
4,1.5,3,2,2.5
5,2,3,2.5,3
6,1.5,3,2.5,3
7,2,3,2.5,3
8,2.5,3,2.5,3
9,2,3,2.5,2.5
10,2,3,2.5,2.5
11,2,3,2.5,2.5
12,2,3,2.5,3
13,2,3,2.5,2.5
14,2.5,3,2.5,3
15,1.5,3,2.5,3
16,2.5,3,2.5,2.5
17,2,3,2.5,2.5
18,2,3,2.5,3
19,2.5,3,2.5,2.5
20,2,3,2.5,3
21,1.5,3,2.5,2.5
22,2.5,3,2.5,2.5
23,2,3,2.5,3
24,1.5,3,2.5,2.5
25,2,3,2.5,3
26,2,3,2.5,2.5
27,2,3,2.5,2.5
28,1.5,3,2,3
29,2.5,3,2.5,2.5
30,2,3,2.5,2.5
31,2,3,2.5,3
32,1.5,3,2.5,3
33,2,3,2.5,3
34,1.5,3,2,3
35,2.5,3,2.5,2.5
36,2.5,3,2.5,2.5
37,2,3,2.5,3
38,2,3,2.5,2.5
39,2,3,2.5,3
40,2,3,2.5,2.5
41,2.5,3,2.5,2.5
42,1.5,3,2.5,2.5
43,2,3,2.5,3
44,2,3,2.5,2.5
45,2,3,2.5,3
46,1.5,3,2,3
47,2,3,2.5,2.5
48,2,3,2.5,2.5
49,2,3,2.5,2.5
50,2,3,2.5,2.5
51,2,3,2.5,3
52,1.5,3,2.5,3
53,2,3,2.5,2.5
54,2,3,2.5,3
55,2.5,3,2.5,2.5
56,2,3,2.5,3
57,2,3,2.5,2.5
58,2,3,2.5,3
59,2,3,2.5,3
60,2.5,3,2.5,3
61,2,3,2.5,2.5
62,2.5,3,2.5,2.5
63,1.5,3,2.5,2.5
64,2,3,2.5,2.5
65,2.5,3,2.5,2.5
66,1.5,3,2.5,3
67,2.5,3,2.5,2.5
68,2,3,2.5,2.5
69,2,3,2.5,3
70,2,3,2.5,3
71,2,3,2.5,3
72,2.5,3,2.5,2.5
73,2.5,3,2.5,2.5
74,2,3,2.5,2.5
75,2.5,3,2.5,2
76,1.5,3,2.5,2.5
77,2.5,3,2.5,2.5
78,2,3,2.5,3
79,2,3,2.5,2.5
80,2,3,2.5,2.5
81,2,3,2.5,2.5
82,2,3,2.5,2.5
83,2.5,3,2.5,3
84,2,3,2.5,3
85,2.5,3,2.5,2.5
86,2,3,2.5,2.5
87,2,3,2.5,3
88,2,3,2.5,2.5
89,2.5,3,2.5,2.5
90,2,3,2.5,2.5
91,2,3,2.5,3
92,2,3,2.5,2.5
93,2,3,2.5,2.5
94,2,3,2.5,2.5
95,2.5,3,2.5,2.5
96,2.5,3,2.5,3
97,2,3,2.5,2.5
98,2.5,3,2.5,2.5
99,2.5,3,2.5,2
100,2,3,2.5,3
