index,novelty,relevance,significance,verifiability
1,1.5,3,2.5,2.5
2,1.5,3,2,3
3,1.5,3,2,3
4,2,3,2.5,3
5,0.5,3,1.0,3
6,1.5,3,2.5,3
7,1.5,3,2,2.5
8,1.5,3,2,3
9,1.5,3,2.5,2.5
10,1,3,2,3
11,2,3,2.5,3
12,1.5,3,2,2.5
13,2,3,2.5,2.5
14,1.5,3,2,3
15,1.5,3,2,2.5
16,1,3,1.5,3
17,1.5,3,2,2.5
18,2,3,2.5,2.5
19,2,3,2.5,3
20,2,3,2.5,2.5
21,1.5,3,2,3
22,2.5,3,2.5,2.5
23,2.5,3,2.5,2.5
24,1.5,3,2,3
25,0.5,3,0.5,3
26,0.5,3,0.5,3
27,0,3,0.5,2.5
28,1.5,3,2,2.5
29,0.5,3,0.5,3
30,1.5,3,2.5,3
31,0.5,3,1,3
32,1.5,3,2.5,3
33,0.5,3,1,2.5
34,1,3,1.5,3
35,2,3,2.5,2.5
36,2,3,2.5,3
37,1.5,3,2,3
38,1.5,3,2,3
39,1.5,3,2.5,2.5
40,2,3,2.5,2.5
41,1.5,3,2,3
42,2,3,2.5,2.5
43,2,3,2.5,3
44,2,3,2.5,2.5
45,2,3,2.5,2.5
46,1.5,3,2,3
47,1.5,3,2.5,3
48,1,3,1,3
49,1.5,3,2,3
50,2,3,2.5,2.5
51,0,3,0.5,3
52,1.5,3,2,3
53,1.5,3,2.5,3
54,0.5,3,1,3
55,1.5,3,2.5,3
56,1.5,3,2,3
57,1.5,3,2.5,3
58,1,3,1.5,2.5
59,1.5,3,2.5,2.5
60,1.5,3,2,3
61,0.5,3,0.5,3
62,1.5,3,2,3
63,0.5,3,0.5,3
64,0.5,3,1,3
65,2,3,2.5,2.5
66,1.5,3,2.5,2.5
67,2,3,2.5,2.5
68,1.5,3,2.5,2.5
69,1.5,3,2,3
70,1.5,3,2,3
71,0,3,0,3
72,0.5,3,0.5,3
73,1.5,3,2,2.5
74,0.5,3,0.5,3
75,1.5,3,2.5,2.5
76,0.5,3,1,3
77,0.5,3,1,3
78,0.5,3,0.5,3
79,1,3,1,3
80,1.5,3,2,2.5
81,2,3,2.5,2.5
82,2,3,2.5,2.5
83,1.5,3,2,3
84,2,3,2.5,3
85,2,3,2.5,3
86,2.5,3,2.5,3
87,1.5,3,2.5,3
88,1.5,3,2.5,2.5
89,1,3,1.5,3
90,1.5,3,2,3
91,0.5,3,1,3
92,1,3,1,3
93,0,3,0.5,3
94,1.5,3,2,3
95,0.5,3,1,3
96,2,3,2.5,2.5
97,2,3,2.5,3
98,2,3,2.5,2.5
99,2,3,2.5,2.5
100,1.5,3,2,2.5
